what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1308839460906
ws,sysinfo,,,"win32",1308839460906
locale,sysinfo,,,"de_DE",1308839460906
processors,sysinfo,,,"1",1308839460906
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308839460906
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1308839460906
java.specification.name,sysinfo,,,"Java Platform API Specification",1308839460906
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308839460906
java.specification.version,sysinfo,,,"1.6",1308839460906
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308839460906
java.version,sysinfo,,,"1.6.0_26",1308839460906
java.vm.info,sysinfo,,,"mixed mode, sharing",1308839460906
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308839460906
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308839460906
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308839460906
java.vm.specification.version,sysinfo,,,"1.0",1308839460906
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308839460906
java.vm.version,sysinfo,,,"20.1-b02",1308839460906
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1308839460921
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1308839460937
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1308839461000
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1308839547156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1308839548015
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1308839552656
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1308839553437
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1308839553734
